Reported trait,id,PubMed ID,M_or,M_m,M_ldpred,k,h2_est,p_est
BD PGC3,phen59,preprint,7606701,1110731,1047642,30,0.21204419558071919,0.016552815606459742
MDD Howard,phen60,30718901,6282030,1027027,969061,30,0.062267467089259634,0.021303851398007695
MDD PGC2,phen61,29700475,13544713,1117553,1045462,30,0.07469539735668466,0.01668309920703568
Educational attainment (EA),phen62,30038396,10101242,1108838,1037389,30,0.11127256526400894,0.025186961319239882
Cognitive skills,phen63,preprint,7305956,1075564,1000099,30,0.09726349466024406,0.019812332338168634
Non-cognitive skills,phen64,preprint,7305956,1075564,1000095,30,0.1096743137551425,0.016399707889710298
G factor (adult),phen65,32895543,7068746,1042016,969368,30,0.1038714665471454,0.017254653197558728
Cannabis use disorder,phen66,33096046,6890886,1066203,999510,28,0.01629082348929311,0.005999857351080343
Left handedness,phen68,32989287,7759413,1101977,1026530,30,0.030395348653495483,0.005760500246309565
Ambidexterity,phen69,32989287,7347493,1100274,1027935,16,0.005565194364998773,0.003231722996332135
Headache,phen70,29397368,9304964,1108669,1034627,30,0.10084633105702448,0.01118393843618843
Hand grip strenght (right),phen71,29313844,23777823,1116674,1040794,30,0.1289416993561675,0.024664539819499245
Hand grip strenght (left),phen72,29313844,23777910,1116674,1040789,30,0.12860704560873398,0.026245869575564316
urine sodium excretion,phen73,31409800,23770657,1116674,1040791,30,0.06960497665720164,0.01840462548615078
salt added to food,phen74,32193382,23778620,1116674,1040793,30,0.080192417012949,0.016945202103769413
eGFRcrea overall European ancestry,phen76,31152163,8885712,1116835,1041894,30,0.07431982864995096,0.006020031747170028
BUN overall European ancestry,phen77,31152164,8358026,1115294,1044158,30,0.06666092811947913,0.0028265705419273516
CKD overall European ancestry,phen78,31152165,9162323,1116768,1041452,30,0.023849971407751032,0.004031829750473462
Breast cancer,GCST004988,29059683,11792358,1118368,1048037,30,0.2485714785817305,0.004349917247502051
Colorectal cancer,GCST008372,30104761,28146007,1118442,1041943,22,0.1440734076958225,0.001509492476668106
Endometrial cancer,GCST006464,30093612,9529047,1111784,1043176,28,0.1646347310773158,0.005261396989682446
Endometrial cancer (endometrioid histology),GCST006465,30093612,9522790,1111675,1043240,28,0.22207478012442217,0.0051655041888317346
Primary biliary cholangitis,GCST003129,26394269,1118849,1011230,988633,30,0.5474521610144089,7.268397529776821e-4
Prostate cancer,GCST006085,29892016,20370928,1117366,1046853,30,0.18218377686973167,0.0017353042642665908
Thyroid cancer,GCST008371,30104761,28338944,1118442,1041896,4,0.17114860792967723,1.2577365676017451e-4
Atrial fibrillation,GCST006414,30061737,34417366,1118443,1046217,30,0.11483885161907512,0.00309764745065233
Coronary heart disease,GCST000998,21378990,2420360,995530,933326,29,0.1273212745777296,0.005664058616444362
Heart failure,GCST009541,31919418,8281262,1109906,1039217,30,0.008351226408605287,0.00566519241728404
Diverticular disease,GCST008105,30661054,10113596,1110404,1036834,30,0.1350615882852888,0.006232464658070976
Irritable bowel syndrome,GCST006304,29626450,7268898,1070959,1002096,27,0.009675627004777925,0.004133262107162269
Gout,GCST008970,31578528,36737039,1118416,1043571,30,0.008223409950078161,3.561012676007681e-4
Type 2 diabetes,GCST006867,30054458,5053015,945742,895782,30,0.055371280967731924,0.008011377254755668
Age-related hearing impairment,GCST003763,27764096,7246752,1057923,992840,24,0.16348163463021315,0.003607915944685786
Carpal tunnel syndrome,GCST007581,30833571,8944547,1101820,1029877,30,0.21312479812176321,0.0073440371657691505
Glaucoma,GCST008373,30104761,28286948,1118442,1041973,27,0.18467989683630673,0.0015442674266606345
Glaucoma (multi-trait analysis),GCST009722,31959993,7698182,1097896,1025010,30,0.05297479512335953,0.0022881517140879897
Insomnia complaints,GCST004695,28604731,12444915,1114685,1039024,28,0.03571694725450575,0.003108968891592163
Alzheimer's disease (late onset),GCST007511,30820047,8167685,1106728,1036235,30,0.10571197373199315,7.634211711808759e-5
Suffering from nerves,GCST006949,29500382,10846943,1075357,1003655,30,0.04017250032250763,0.01147416244364028
Focal epilepsy (lesion negative),GCST007349,30531953,4988872,870657,824470,15,0.3858002832845353,0.006556769470423874
Amyotrophic lateral sclerosis (sporadic),GCST004901,28931804,4986509,929828,874795,26,0.2069390329795998,0.007288152559220518
Depression,GCST010016,32231276,8968715,1102786,1025694,10,0.07781588261402228,0.0032339227267376663
Depression (broad),GCST005902,29662059,7641986,1101387,1029346,30,0.06678385482595814,0.013015173042408248
Depression or depression symptoms,GCST010015,32231276,8968715,1102786,1030315,29,0.06498445342170991,0.005125216672054645
Help-seeking from a GP,GCST010011,32231276,8968715,1102786,1030366,30,0.06608753862773148,0.013620580080029445
Help-seeking from a GP (without major depressive disorder symptoms),GCST010014,32231276,8968715,1102786,1030347,21,0.03663982757574638,0.0016128151190766698
Help-seeking from a psychiatrist,GCST010012,32231276,8968715,1102786,1030350,30,0.07429269867748219,0.008037979686824692
Major depressive disorder,GCST009979,31969693,7790497,1112842,898500,30,0.09158369252101692,0.008102657990986317
Major depressive disorder (ICD-10 coded),GCST005903,29662059,7658352,1103421,1031137,23,0.10475883648530981,0.004199727114505061
Major depressive disorder (lifetime with recurrence),GCST010010,32231276,8968715,1102786,1030401,30,0.14151836935026355,0.005410095937364629
Major depressive disorder (lifetime),GCST010009,32231276,8968715,1102786,1030433,30,0.11191864170242065,0.00634767056608908
Major depressive disorder (probable),GCST005904,29662059,7666894,1104449,1032012,25,0.039198413503310055,0.004335599753096827
Major depressive disorder in trauma-unexposed individuals,GCST009981,31969693,7790497,1112842,971242,9,0.06582944381537352,0.0024719066467078533
Major depressive disorder symptoms (low mood or anhedonia),GCST010013,32231276,8968715,1102786,1030367,29,0.07660283877804214,0.005957132577754253
Adolescent idiopathic scoliosis,GCST006902,30395268,3287821,677559,570306,25,0.8143373534184672,0.021724649905560077
Asthma (adult onset),GCST008918,31619474,5281004,677875,641619,30,0.09194436253745275,0.006545787719685034
Asthma (moderate or severe),GCST006911,30552067,33771858,1107713,1025978,30,0.3528329609166866,0.00255552777275044
Chronic kidney disease,GCST008065,31152163,9162323,1116768,1041452,30,0.02382569626444786,0.004004897062329923
Osteoarthritis (hospital diagnosed),GCST005814,29559693,16468597,1107812,1039553,28,0.07404890989225324,0.0043007583280108164
Osteoarthritis (self-reported),GCST005811,29559693,16499239,1106801,1038561,29,0.0618659684840154,0.004419490377296572
Osteoarthritis of the hip (hospital diagnosed),GCST005810,29559693,16122076,1112369,1036482,9,0.09256934213968536,6.773272152969553e-4
Osteoarthritis of the knee (hospital diagnosed),GCST005813,29559693,16309199,1110578,1042073,17,0.05510909584702471,0.00230665866289123
Birth weight,GCST005146,27680694,22434433,1118387,1043664,30,0.11844745112560356,0.006358075639291778
Body fat percentage,GCST007064,30593698,7794483,1113300,1041143,26,0.016529625495410562,0.04351351111324233
Height,GCST006901,30124842,2334001,955552,899654,30,0.6290785328113273,0.03368428833293112
Heart rate,GCST001969,23583979,2516789,992986,934198,30,0.09175451081101918,0.003688055197492473
Heart rate increase in response to exercise,GCST005845,29497042,14651149,1118441,1042117,30,0.029983922507956423,0.005193180074005268
Heart rate response to recovery post exercise (10 sec),GCST005846,29497042,14651149,1118441,1042121,30,0.022942609611153266,0.002331455433500727
Heart rate response to recovery post exercise (20 sec),GCST005847,29497042,14651149,1118441,1042129,30,0.02663403875527801,0.0033908080382991355
Heart rate response to recovery post exercise (30 sec),GCST005850,29497042,14651149,1118441,1042131,30,0.027613241740140706,0.0035319445823244412
Heart rate response to recovery post exercise (40 sec),GCST005849,29497042,14651149,1118441,1042124,30,0.027780966949432807,0.0034151934548535753
Heart rate response to recovery post exercise (50 sec),GCST005848,29497042,14651149,1118441,1042128,30,0.027010419016455307,0.0033714322122481632
Heart rate variability traits (pvRSA/HF),GCST004732,28613276,2532811,1055939,989144,24,0.03798577821485828,2.0247811616085824e-4
Heart rate variability traits (RMSSD),GCST004733,28613276,2534714,1056790,994279,26,0.06907834284914209,4.3779723506536775e-4
Heart rate variability traits (SDNN),GCST004734,28613276,2555913,1060414,990844,25,0.06704281934279341,5.554187128225134e-4
Body surface area-indexed left ventricular end-diastolic volume,GCST010128,32382064,14530025,1118436,1042292,30,0.2170366848139383,0.00484836966670526
Left ventricular end-diastolic volume,GCST010131,32382064,14528279,1118437,1042287,30,0.2679190520284622,0.005432377357625258
Left ventricular ejection fraction,GCST010125,32382064,14528279,1118437,1042274,30,0.1887435587175321,0.0024128749173699497
Left ventricular mass,GCST009396,31554410,6989573,1012898,949641,29,0.19810584734960116,0.003375711637232401
Left ventricular mass to end-diastolic volume ratio,GCST009393,31554410,6989560,1012886,949636,27,0.19088410858739954,0.002128904574059972
Body surface area-indexed left ventricular stroke volume,GCST010126,32382064,14530025,1118436,1042282,30,0.179182938410133,0.00465013286072102
Left ventricular stroke volume,GCST010129,32382064,14528279,1118437,1042281,30,0.2149821707946135,0.005422328915229634
Myocardial fractal dimension (slice 1),GCST90000287,32814899,13415263,1117858,1041977,16,0.11591606134676863,0.002483575339010064
Myocardial fractal dimension (slice 2),GCST90000288,32814899,13415263,1117858,1041975,24,0.11749179837903406,0.0013464500130256792
Myocardial fractal dimension (slice 3),GCST90000289,32814899,13415263,1117858,1041975,26,0.15475352985573515,0.001189393367141562
Myocardial fractal dimension (slice 4),GCST90000290,32814899,13415263,1117858,1041978,26,0.15338572326329858,0.0011463977083168843
Myocardial fractal dimension (slice 5),GCST90000291,32814899,13415263,1117858,1041980,28,0.20677791519600644,0.0018610317898516983
Myocardial fractal dimension (slice 6),GCST90000292,32814899,13415263,1117858,1041979,29,0.21844461788594846,0.001850754323695357
Myocardial fractal dimension (slice 7),GCST90000293,32814899,13415263,1117858,1041975,28,0.20627464358400704,0.002082198735986668
Myocardial fractal dimension (slice 8),GCST90000294,32814899,13415263,1117858,1041975,26,0.1881029299494923,0.0022850169887229615
Myocardial fractal dimension (slice 9),GCST90000295,32814899,13415263,1117858,1041975,9,0.10224567849599976,0.001967495417438658
Body surface area-indexed left ventricular end-systolic volume,GCST010127,32382064,14530025,1118436,1042294,30,0.20377669671728393,0.002695457551029125
Left ventricular end-systolic volume,GCST010130,32382064,14528279,1118437,1042292,30,0.25667002527667426,0.003700005406116311
PR interval,GCST010320,32439900,10731477,1116760,1046402,30,0.14310316732462833,0.0031910964891913455
Eosinophil counts,GCST004606,27863252,29485759,1118218,1042065,30,0.15621929900863352,0.001973608161871349
Eosinophil percentage of granulocytes,GCST004617,27863252,29482376,1118218,1042058,30,0.14097884296545846,0.0019190968046055416
Eosinophil percentage of white cells,GCST004600,27863252,29483746,1118218,1042060,30,0.14751422135894915,0.0019254905868869004
Red blood cell count,GCST004601,27863252,29486177,1118218,1042084,30,0.18189539455596787,0.002646566777243766
Granulocyte count,GCST004614,27863252,29481601,1118218,1042053,30,0.13759371483985464,0.002389444903489241
Granulocyte percentage of myeloid white cells,GCST004608,27863252,29480509,1118218,1042042,30,0.1639433810335476,0.001572140319410927
Hematocrit,GCST004604,27863252,29484426,1118218,1042070,30,0.1286528034768865,0.002751966081292308
Hemoglobin concentration,GCST004615,27863252,29483564,1118218,1042063,30,0.132566199278015,0.0025639884683324086
White blood cell count,GCST004610,27863252,29485724,1118218,1042070,30,0.15914216642632162,0.003001357857146988
Lymphocyte counts,GCST004627,27863252,29484106,1118218,1042055,30,0.1596909782313767,0.002736387473340865
Lymphocyte percentage of white cells,GCST004632,27863252,29483866,1118218,1042052,30,0.12209493654982914,0.0027395426084729016
Mean corpuscular hemoglobin,GCST004630,27863252,29482665,1118218,1042072,30,0.2489041656155234,0.0013217588777354665
Mean corpuscular hemoglobin concentration,GCST004605,27863252,29486070,1118218,1042065,30,0.0845337310711605,7.835621386536368e-4
Monocyte count,GCST004625,27863252,29482454,1118218,1042063,30,0.20858351345512144,0.0020510145960683356
Monocyte percentage of white cells,GCST004609,27863252,29481677,1118218,1042053,30,0.18570505456685163,0.001599268659068264
Myeloid white cell count,GCST004626,27863252,29478559,1118218,1042061,30,0.1434420041480844,0.002537404806064492
Neutrophil count,GCST004629,27863252,29481373,1118218,1042054,30,0.13460856159633003,0.0023477609331923385
Neutrophil percentage of granulocytes,GCST004623,27863252,29482650,1118218,1042056,30,0.12899000137842165,0.0018082385416838633
Neutrophil percentage of white cells,GCST004633,27863252,29482828,1118218,1042044,30,0.11474104806258668,0.002546555852009469
Platelet distribution width,GCST004616,27863252,29461105,1117937,1041800,30,0.17705602928671985,0.0013766767813954727
Plateletcrit,GCST004607,27863252,29463315,1118218,1042057,30,0.21928793783678024,0.0025316297494332772
High light scatter reticulocyte count,GCST004611,27863252,29480430,1118218,1042073,30,0.17495275614328964,0.001582807748487458
High light scatter reticulocyte percentage of red cells,GCST004612,27863252,29480170,1118218,1042075,30,0.17565312736406685,0.0014928706209135579
Immature fraction of reticulocytes,GCST004628,27863252,29479929,1118208,1042047,30,0.13006513436943923,0.001118497236013947
Reticulocyte count,GCST004622,27863252,29479992,1118216,1042066,30,0.17858958736908867,0.0016279695183979126
Reticulocyte fraction of red cells,GCST004619,27863252,29480520,1118210,1042062,30,0.1781990859957429,0.0014390786259993247
Sum basophil neutrophil counts,GCST004620,27863252,29480759,1118218,1042053,30,0.13541939855497695,0.002344370944684583
Sum eosinophil basophil counts,GCST004624,27863252,29485063,1118218,1042063,30,0.1493293257918777,0.0019742610664481037
Sum neutrophil eosinophil counts,GCST004613,27863252,29482518,1118218,1042052,30,0.13660839591037205,0.0023808249581757715
White blood cell count (basophil),GCST004618,27863252,29484325,1118212,1042050,30,0.06403001648970087,0.0012284683876780766
Basophil percentage of granulocytes,GCST004634,27863252,29481035,1118207,1042034,30,0.04930013159894178,8.011619176864406e-4
Basophil percentage of white cells,GCST004631,27863252,29483704,1118203,1042039,30,0.04818554617383023,6.741354369088459e-4
C-reactive protein levels,GCST009777,31900758,8927042,1110177,720912,30,0.2619268703107607,0.016573798943143134
HDL cholesterol levels,GCST004232,28334899,2227639,930358,681023,24,0.38197575923136345,0.00483672867312133
LDL cholesterol levels,GCST004233,28334899,2227829,930420,683161,23,0.333361532759314,0.006038376058916193
Low density lipoprotein cholesterol levels,GCST90002412,32493714,16759647,1114053,1037965,30,0.3041046039178021,0.004085432488280185
Agreeableness,GCST006329,21173776,2305461,964791,910409,4,0.014645824100415317,0.001496969742413519
Alcohol consumption (drinks per week),GCST007328,30643258,11514936,1115154,1039827,30,0.06915397945151991,0.013548186894570467
Anxiety/tension (special factor of neuroticism),GCST007710,30867560,18485882,1115610,735887,30,0.05729587128619021,0.01565828510057575
Male-pattern baldness,GCST007020,30573740,19123862,1079082,1007468,30,0.4046744969230839,0.005742424916547713
Blood urea nitrogen levels,GCST008063,31152163,8358026,1115294,1044158,30,0.06691860334483296,0.0028631629902141145
Morning person,GCST007565,30696823,11977376,1115707,1039921,30,0.11589910692808572,0.018496370709040554
Smoking behaviour (cigarettes smoked per day),GCST007459,30643251,12003613,1115660,1045717,30,0.05199787850070421,0.003904345611042093
Cognitive performance,GCST006572,30038396,10098325,1108843,1033915,30,0.19476259669776202,0.01900885223753747
Conscientiousness,GCST006326,21173776,2305682,964844,910351,11,0.061846753166398455,0.0015992536768774405
Depressive symptoms,GCST007340,30643256,4982474,915200,866565,30,0.041261934218004,0.022812062268582463
Family history of Alzheimer's disease,GCST005921,29777097,7350603,1102512,725819,30,0.012471593685149553,4.122973979100067e-5
Maternal history of Alzheimer's disease,GCST005923,29777097,7350603,1102512,725807,30,0.02582720274486624,1.764427544446747e-5
Paternal history of Alzheimer's disease,GCST005920,29777097,7350603,1102512,725902,25,0.018934026592788752,1.298331345218993e-5
Feeling fed-up,GCST006947,29500382,10846943,1075357,1003655,30,0.06819329432424512,0.017032459150715676
Feeling hurt,GCST006951,29500382,10846943,1075357,1003655,30,0.06036752953246563,0.014773571134108897
Feeling miserable,GCST006943,29500382,10846943,1075357,1003655,30,0.05971203762165602,0.014879888049840521
Feeling nervous,GCST006948,29500382,10846943,1075357,1003655,30,0.06311283926536276,0.015095707519707086
Feeling tense,GCST006952,29500382,10846943,1075357,1003655,30,0.05099180145986061,0.013087111179661087
Lung function (FEV1/FVC),GCST007431,30804560,19814168,1115992,1042810,30,0.1547222999694977,0.007065996501964914
FEV1,GCST007432,30804560,19814083,1115992,1043213,30,0.15702480379023137,0.013778252948588667
Gestational weight gain (maternal effect),GCST005033,28990592,2408704,985231,923685,16,0.13011434794986804,0.003375273515201998
Estimated glomerular filtration rate,GCST008058,31152163,8276454,1115932,1007368,30,0.09469363182588328,0.015188843493604656
Feeling guilty,GCST006945,29500382,10846943,1075357,1003655,30,0.049371408971657295,0.013570694251576518
Insomnia symptoms (never/rarely vs. sometimes/usually),GCST007387,30804566,14661601,1118373,1042086,30,0.08495296176414387,0.01593556536866041
Modified Stumvoll Insulin Sensitivity Index,GCST005178,27416945,2423410,1005702,943004,11,0.07120720720976793,0.0027136484913854843
Irritable mood,GCST006941,29500382,10846943,1075357,1003655,30,0.06151683770611577,0.014754993890588215
Fat-free mass,GCST007063,30593698,7794483,1113300,1041132,30,0.0578703656991058,0.14990685199058765
Driving (hours per day),GCST010086,32317632,19400299,1118441,1041941,30,0.03245399495916072,0.010386798003403705
Leisure sedentary behaviour (television watching),GCST010084,32317632,19400292,1118441,1041998,30,0.14369826410334588,0.02504735967943709
Feeling lonely,GCST006942,29500382,10846943,1075357,1003655,30,0.035476270380880415,0.012188641097118348
Loneliness,GCST006923,29970889,7745443,1110423,1036861,30,0.06515624925930234,0.013004036441024146
Loneliness (MTAG),GCST006924,29970889,7723212,1110162,1034540,30,0.037332247486905897,0.010911584613496603
Experiencing mood swings,GCST006944,29500382,10846943,1075357,1003655,30,0.06749502435040353,0.016280511493821537
General factor of neuroticism,GCST007709,30867560,18485882,1115610,736025,30,0.10389664142492737,0.021873594216857035
Neurociticism,GCST006940,29500382,10846943,1075357,1003655,30,0.10941030273875256,0.02072247763475433
Neuroticism,GCST007339,30643256,4982474,915200,866535,30,0.0836409919378745,0.0228112094040036
Openness,GCST000922,21173776,2305640,964889,910501,6,0.06684085608192636,0.0018700972223118892
Parental extreme longevity (95 years and older),GCST003395,27015805,9583642,1095050,1023128,5,0.3745425274786042,0.00301977684632769
Parental lifespan,GCST009890,30642433,9085648,1117203,1043207,30,0.028740546698267207,0.01214294406559363
Parental longevity (both parents in top 10%),GCST006698,29227965,11516100,1071959,999166,30,0.3203867738330758,0.007507447353419149
Parental longevity (combined parental age at death),GCST006702,29227965,11516096,1071961,999226,30,0.05102717926647837,0.010012423368280527
"Parental longevity (combined parental attained age, Martingale residuals)",GCST006697,29227965,11521815,1071973,999233,30,0.04523895624385623,0.012710207092917664
Parental longevity (father's age at death),GCST006700,29227965,11519488,1071971,999225,30,0.030145139160600118,0.009607757664971326
Parental longevity (father's attained age),GCST006701,29227965,11521579,1071970,999237,30,0.03795746030139989,0.012665492477432852
Parental longevity (mother's age at death),GCST006699,29227965,11517079,1071965,999214,30,0.03260214570296837,0.00933088490649648
Parental longevity (mother's attained age),GCST006696,29227965,11522251,1071973,999231,30,0.0278669704509217,0.01022184541756699
Peak expiratory flow,GCST007430,30804560,14903702,1115993,1042458,30,0.12260750300634664,0.007057933461022876
Accelerometer-based physical activity measurement (average acceleration),GCST006099,29899525,11826775,1118301,1042130,30,0.14195755798950083,0.010712000907176025
Accelerometer-based physical activity measurement (fraction of time with accelerations >425 milli-gravities),GCST006079,29899525,11826725,1118305,1042125,30,0.10699482469648153,0.00909735907017906
Moderate to vigorous physical activity levels,GCST006097,29899525,11838639,1118318,1042109,30,0.047286052657202406,0.012585868739256545
Physical activity (moderate intensity activity duration),GCST006915,30531941,9770928,1110860,1037258,27,0.057540169126859275,0.005367640418869899
Physical activity (overall physical activity time),GCST006912,30531941,9770928,1110860,1037276,30,0.14386774238317107,0.011030161185584374
Physical activity (walking duration),GCST007110,30531941,9770928,1110860,1037259,30,0.0723220213240835,0.0067829283124940685
Sedentary behaviour duration,GCST006913,30531941,9770928,1110860,1037261,30,0.10079383499038043,0.007852186324610527
Vigorous physical activity,GCST006098,29899525,11834614,1118307,1042096,30,0.06231192441224572,0.011710306880807788
Urinary potassium excretion,GCST008648,31409800,8776510,1116708,1042031,30,0.04299493322587517,0.012756156746542084
Refractive error (age-at-onset of spectacle wearing-inferred),GCST009520,31670792,10417985,1115749,1041069,30,0.12631106981446727,0.00973004978406592
Refractive error (autorefraction measured),GCST009521,31670792,10417985,1115749,1041176,30,0.34687474921783457,0.008186158739295155
Number of sexual partners,GCST007326,30643258,11515109,1115156,1039827,30,0.097832390773618,0.017652861421844798
Sleep duration (long sleep),GCST007560,30846698,14661601,1118373,1042068,30,0.08379305355438749,0.008335870173385003
Sleep duration (oversleepers),GCST006685,27494321,16762749,1102040,1027312,16,0.08296748937723156,0.003920194880718686
Sleep duration (short sleep),GCST007559,30846698,14661601,1118373,1042076,30,0.06927813095512665,0.013903326396364123
Sleep duration (undersleepers),GCST006686,27494321,16761229,1102041,1027303,28,0.06229128561470097,0.006792301523157928
Smoking initiation (ever regular vs never regular),GCST007474,30643251,11733344,1102177,1034054,30,0.03483969342924291,0.008994464507463874
Snoring,GCST009761,32060260,11010167,1116424,1041930,30,0.060576438158195176,0.013633667305411181
Regular attendance at a gym or sports club,GCST006920,29970889,7745421,1110431,1036866,30,0.042679618579451836,0.013146293326704351
Regular attendance at a pub or social club,GCST006921,29970889,7745421,1110431,1036872,30,0.04742897847958739,0.012857669059027858
Regular attendance at a religious group,GCST006922,29970889,7745421,1110431,1036869,30,0.10382701672766109,0.015990963221078146
Urinary sodium excretion,GCST008647,31409800,8776507,1116707,1042048,30,0.07314021127646106,0.017733395380201494
Left planum temporale grey matter volume,GCST009460,31887566,15120452,1117353,1041393,28,0.25101558054239687,0.004532758326491795
Planum temporale asymmetry index,GCST009459,31887566,15120452,1117353,1041398,7,0.06813408161903406,0.0012260680116725374
Right planum temporale grey matter volume,GCST009458,31887566,15120452,1117353,1041396,28,0.23821436482262626,0.004104130483635346
Trauma exposure,GCST009982,31969693,7790497,1112842,881720,30,0.11240342135982319,0.009348064603967123
Trauma exposure in major depressive disorder-negative individuals,GCST009984,31969693,7790497,1112842,958030,20,0.09884546181864745,0.004015493463143661
Urate levels,GCST008972,31578528,38962994,1118416,982201,30,0.16750521348945802,0.0062572937281939545
Urinary albumin-to-creatinine ratio,GCST009640,31630189,12079899,1115624,1042455,30,0.055202684687023724,0.011452294761741665
Lung function (FVC),GCST007429,30804560,19815284,1115993,1043006,30,0.15404594921344567,0.015732951471258045
Vitamin D levels,GCST005367,29343764,2514512,1066213,966863,30,0.09748484051424555,0.0014702177084820283
Life satisfaction,GCST007337,30643256,4982474,915200,838724,30,0.3361773738051705,0.011692210554870467
Positive affect,GCST007338,30643256,4982474,915200,854557,30,0.0902874233365947,0.018866136250685155
White matter hyperintensity volume,GCST007305,30659137,7332218,1100693,1030296,19,0.2061873311617499,0.002226653350567164
White matter integrity (fractional anisotropy),GCST010102,32358547,9735097,1109852,1036458,11,0.11514856407526419,0.017114205225257185
