GWAS_trait,id,GWAS_pubmedID,source,M_or,M_m,M_ldpred,k,h2_est,p_est
Educational attainment (EA),phen62,30038396,Other public resources,10101242,1108838,1037389,30,1.11e-01,2.52e-02
Cognitive skills,phen63,preprint,PGC without iPSYCH samples,7305956,1075564,1000099,30,9.73e-02,1.98e-02
Non-cognitive skills,phen64,preprint,PGC without iPSYCH samples,7305956,1075564,1000095,30,1.10e-01,1.64e-02
G factor (adult),phen65,32895543,PGC without iPSYCH samples,7068746,1042016,969368,30,1.04e-01,1.73e-02
Cannabis use disorder,phen66,33096046,PGC without iPSYCH samples,6890886,1066203,999510,28,1.63e-02,6.00e-03
Left handedness,phen68,32989287,PGC without iPSYCH samples,7759413,1101977,1026530,30,3.04e-02,5.76e-03
Ambidexterity,phen69,32989287,PGC without iPSYCH samples,7347493,1100274,1027935,16,5.57e-03,3.23e-03
Headache,phen70,29397368,Other public resources,9304964,1108669,1034627,30,1.01e-01,1.12e-02
Hand grip strenght (right),phen71,29313844,Other public resources,23777823,1116674,1040794,30,1.29e-01,2.47e-02
Hand grip strenght (left),phen72,29313844,Other public resources,23777910,1116674,1040789,30,1.29e-01,2.62e-02
urine sodium excretion,phen73,31409800,Other public resources,23770657,1116674,1040791,30,6.96e-02,1.84e-02
salt added to food,phen74,32193382,Other public resources,23778620,1116674,1040793,30,8.02e-02,1.69e-02
eGFRcrea overall European ancestry,phen76,31152163,Other public resources,8885712,1116835,1041894,30,7.43e-02,6.02e-03
BUN overall European ancestry,phen77,31152164,Other public resources,8358026,1115294,1044158,30,6.67e-02,2.83e-03
CKD overall European ancestry,phen78,31152165,Other public resources,9162323,1116768,1041452,30,2.38e-02,4.03e-03
Breast cancer,GCST004988,29059683,gwas_catalog,11792358,1118368,1048037,30,2.49e-01,4.35e-03
Colorectal cancer,GCST008372,30104761,gwas_catalog,28146007,1118442,1041943,22,1.44e-01,1.51e-03
Endometrial cancer,GCST006464,30093612,gwas_catalog,9529047,1111784,1043176,28,1.65e-01,5.26e-03
Endometrial cancer (endometrioid histology),GCST006465,30093612,gwas_catalog,9522790,1111675,1043240,28,2.22e-01,5.17e-03
Primary biliary cholangitis,GCST003129,26394269,gwas_catalog,1118849,1011230,988633,30,5.47e-01,7.27e-04
Prostate cancer,GCST006085,29892016,gwas_catalog,20370928,1117366,1046853,30,1.82e-01,1.74e-03
Thyroid cancer,GCST008371,30104761,gwas_catalog,28338944,1118442,1041896,4,1.71e-01,1.26e-04
Atrial fibrillation,GCST006414,30061737,gwas_catalog,34417366,1118443,1046217,30,1.15e-01,3.10e-03
Coronary heart disease,GCST000998,21378990,gwas_catalog,2420360,995530,933326,29,1.27e-01,5.66e-03
Heart failure,GCST009541,31919418,gwas_catalog,8281262,1109906,1039217,30,8.35e-03,5.67e-03
Diverticular disease,GCST008105,30661054,gwas_catalog,10113596,1110404,1036834,30,1.35e-01,6.23e-03
Irritable bowel syndrome,GCST006304,29626450,gwas_catalog,7268898,1070959,1002096,27,9.68e-03,4.13e-03
Gout,GCST008970,31578528,gwas_catalog,36737039,1118416,1043571,30,8.22e-03,3.56e-04
Type 2 diabetes,GCST006867,30054458,gwas_catalog,5053015,945742,895782,30,5.54e-02,8.01e-03
Age-related hearing impairment,GCST003763,27764096,gwas_catalog,7246752,1057923,992840,24,1.63e-01,3.61e-03
Carpal tunnel syndrome,GCST007581,30833571,gwas_catalog,8944547,1101820,1029877,30,2.13e-01,7.34e-03
Glaucoma,GCST008373,30104761,gwas_catalog,28286948,1118442,1041973,27,1.85e-01,1.54e-03
Glaucoma (multi-trait analysis),GCST009722,31959993,gwas_catalog,7698182,1097896,1025010,30,5.30e-02,2.29e-03
Insomnia complaints,GCST004695,28604731,gwas_catalog,12444915,1114685,1039024,28,3.57e-02,3.11e-03
Alzheimer's disease (late onset),GCST007511,30820047,gwas_catalog,8167685,1106728,1036235,30,1.06e-01,7.63e-05
Suffering from nerves,GCST006949,29500382,gwas_catalog,10846943,1075357,1003655,30,4.02e-02,1.15e-02
Focal epilepsy (lesion negative),GCST007349,30531953,gwas_catalog,4988872,870657,824470,15,3.86e-01,6.56e-03
Amyotrophic lateral sclerosis (sporadic),GCST004901,28931804,gwas_catalog,4986509,929828,874795,26,2.07e-01,7.29e-03
Depression,GCST010016,32231276,gwas_catalog,8968715,1102786,1025694,10,7.78e-02,3.23e-03
Depression (broad),GCST005902,29662059,gwas_catalog,7641986,1101387,1029346,30,6.68e-02,1.30e-02
Depression or depression symptoms,GCST010015,32231276,gwas_catalog,8968715,1102786,1030315,29,6.50e-02,5.13e-03
Help-seeking from a GP,GCST010011,32231276,gwas_catalog,8968715,1102786,1030366,30,6.61e-02,1.36e-02
Help-seeking from a GP (without major depressive disorder symptoms),GCST010014,32231276,gwas_catalog,8968715,1102786,1030347,21,3.66e-02,1.61e-03
Help-seeking from a psychiatrist,GCST010012,32231276,gwas_catalog,8968715,1102786,1030350,30,7.43e-02,8.04e-03
Major depressive disorder,GCST009979,31969693,gwas_catalog,7790497,1112842,898500,30,9.16e-02,8.10e-03
Major depressive disorder (ICD-10 coded),GCST005903,29662059,gwas_catalog,7658352,1103421,1031137,23,1.05e-01,4.20e-03
Major depressive disorder (lifetime with recurrence),GCST010010,32231276,gwas_catalog,8968715,1102786,1030401,30,1.42e-01,5.41e-03
Major depressive disorder (lifetime),GCST010009,32231276,gwas_catalog,8968715,1102786,1030433,30,1.12e-01,6.35e-03
Major depressive disorder (probable),GCST005904,29662059,gwas_catalog,7666894,1104449,1032012,25,3.92e-02,4.34e-03
Major depressive disorder in trauma-unexposed individuals,GCST009981,31969693,gwas_catalog,7790497,1112842,971242,9,6.58e-02,2.47e-03
Major depressive disorder symptoms (low mood or anhedonia),GCST010013,32231276,gwas_catalog,8968715,1102786,1030367,29,7.66e-02,5.96e-03
Adolescent idiopathic scoliosis,GCST006902,30395268,gwas_catalog,3287821,677559,570306,25,8.14e-01,2.17e-02
Asthma (adult onset),GCST008918,31619474,gwas_catalog,5281004,677875,641619,30,9.19e-02,6.55e-03
Asthma (moderate or severe),GCST006911,30552067,gwas_catalog,33771858,1107713,1025978,30,3.53e-01,2.56e-03
Chronic kidney disease,GCST008065,31152163,gwas_catalog,9162323,1116768,1041452,30,2.38e-02,4.00e-03
Osteoarthritis (hospital diagnosed),GCST005814,29559693,gwas_catalog,16468597,1107812,1039553,28,7.40e-02,4.30e-03
Osteoarthritis (self-reported),GCST005811,29559693,gwas_catalog,16499239,1106801,1038561,29,6.19e-02,4.42e-03
Osteoarthritis of the hip (hospital diagnosed),GCST005810,29559693,gwas_catalog,16122076,1112369,1036482,9,9.26e-02,6.77e-04
Osteoarthritis of the knee (hospital diagnosed),GCST005813,29559693,gwas_catalog,16309199,1110578,1042073,17,5.51e-02,2.31e-03
Birth weight,GCST005146,27680694,gwas_catalog,22434433,1118387,1043664,30,1.18e-01,6.36e-03
Body fat percentage,GCST007064,30593698,gwas_catalog,7794483,1113300,1041143,26,1.65e-02,4.35e-02
Height,GCST006901,30124842,gwas_catalog,2334001,955552,899654,30,6.29e-01,3.37e-02
Heart rate,GCST001969,23583979,gwas_catalog,2516789,992986,934198,30,9.18e-02,3.69e-03
Heart rate increase in response to exercise,GCST005845,29497042,gwas_catalog,14651149,1118441,1042117,30,3.00e-02,5.19e-03
Heart rate response to recovery post exercise (10 sec),GCST005846,29497042,gwas_catalog,14651149,1118441,1042121,30,2.29e-02,2.33e-03
Heart rate response to recovery post exercise (20 sec),GCST005847,29497042,gwas_catalog,14651149,1118441,1042129,30,2.66e-02,3.39e-03
Heart rate response to recovery post exercise (30 sec),GCST005850,29497042,gwas_catalog,14651149,1118441,1042131,30,2.76e-02,3.53e-03
Heart rate response to recovery post exercise (40 sec),GCST005849,29497042,gwas_catalog,14651149,1118441,1042124,30,2.78e-02,3.42e-03
Heart rate response to recovery post exercise (50 sec),GCST005848,29497042,gwas_catalog,14651149,1118441,1042128,30,2.70e-02,3.37e-03
Heart rate variability traits (pvRSA/HF),GCST004732,28613276,gwas_catalog,2532811,1055939,989144,24,3.80e-02,2.02e-04
Heart rate variability traits (RMSSD),GCST004733,28613276,gwas_catalog,2534714,1056790,994279,26,6.91e-02,4.38e-04
Heart rate variability traits (SDNN),GCST004734,28613276,gwas_catalog,2555913,1060414,990844,25,6.70e-02,5.55e-04
Body surface area-indexed left ventricular end-diastolic volume,GCST010128,32382064,gwas_catalog,14530025,1118436,1042292,30,2.17e-01,4.85e-03
Left ventricular end-diastolic volume,GCST010131,32382064,gwas_catalog,14528279,1118437,1042287,30,2.68e-01,5.43e-03
Left ventricular ejection fraction,GCST010125,32382064,gwas_catalog,14528279,1118437,1042274,30,1.89e-01,2.41e-03
Left ventricular mass,GCST009396,31554410,gwas_catalog,6989573,1012898,949641,29,1.98e-01,3.38e-03
Left ventricular mass to end-diastolic volume ratio,GCST009393,31554410,gwas_catalog,6989560,1012886,949636,27,1.91e-01,2.13e-03
Body surface area-indexed left ventricular stroke volume,GCST010126,32382064,gwas_catalog,14530025,1118436,1042282,30,1.79e-01,4.65e-03
Left ventricular stroke volume,GCST010129,32382064,gwas_catalog,14528279,1118437,1042281,30,2.15e-01,5.42e-03
Myocardial fractal dimension (slice 1),GCST90000287,32814899,gwas_catalog,13415263,1117858,1041977,16,1.16e-01,2.48e-03
Myocardial fractal dimension (slice 2),GCST90000288,32814899,gwas_catalog,13415263,1117858,1041975,24,1.17e-01,1.35e-03
Myocardial fractal dimension (slice 3),GCST90000289,32814899,gwas_catalog,13415263,1117858,1041975,26,1.55e-01,1.19e-03
Myocardial fractal dimension (slice 4),GCST90000290,32814899,gwas_catalog,13415263,1117858,1041978,26,1.53e-01,1.15e-03
Myocardial fractal dimension (slice 5),GCST90000291,32814899,gwas_catalog,13415263,1117858,1041980,28,2.07e-01,1.86e-03
Myocardial fractal dimension (slice 6),GCST90000292,32814899,gwas_catalog,13415263,1117858,1041979,29,2.18e-01,1.85e-03
Myocardial fractal dimension (slice 7),GCST90000293,32814899,gwas_catalog,13415263,1117858,1041975,28,2.06e-01,2.08e-03
Myocardial fractal dimension (slice 8),GCST90000294,32814899,gwas_catalog,13415263,1117858,1041975,26,1.88e-01,2.29e-03
Myocardial fractal dimension (slice 9),GCST90000295,32814899,gwas_catalog,13415263,1117858,1041975,9,1.02e-01,1.97e-03
Body surface area-indexed left ventricular end-systolic volume,GCST010127,32382064,gwas_catalog,14530025,1118436,1042294,30,2.04e-01,2.70e-03
Left ventricular end-systolic volume,GCST010130,32382064,gwas_catalog,14528279,1118437,1042292,30,2.57e-01,3.70e-03
PR interval,GCST010320,32439900,gwas_catalog,10731477,1116760,1046402,30,1.43e-01,3.19e-03
Eosinophil counts,GCST004606,27863252,gwas_catalog,29485759,1118218,1042065,30,1.56e-01,1.97e-03
Eosinophil percentage of granulocytes,GCST004617,27863252,gwas_catalog,29482376,1118218,1042058,30,1.41e-01,1.92e-03
Eosinophil percentage of white cells,GCST004600,27863252,gwas_catalog,29483746,1118218,1042060,30,1.48e-01,1.93e-03
Red blood cell count,GCST004601,27863252,gwas_catalog,29486177,1118218,1042084,30,1.82e-01,2.65e-03
Granulocyte count,GCST004614,27863252,gwas_catalog,29481601,1118218,1042053,30,1.38e-01,2.39e-03
Granulocyte percentage of myeloid white cells,GCST004608,27863252,gwas_catalog,29480509,1118218,1042042,30,1.64e-01,1.57e-03
Hematocrit,GCST004604,27863252,gwas_catalog,29484426,1118218,1042070,30,1.29e-01,2.75e-03
Hemoglobin concentration,GCST004615,27863252,gwas_catalog,29483564,1118218,1042063,30,1.33e-01,2.56e-03
White blood cell count,GCST004610,27863252,gwas_catalog,29485724,1118218,1042070,30,1.59e-01,3.00e-03
Lymphocyte counts,GCST004627,27863252,gwas_catalog,29484106,1118218,1042055,30,1.60e-01,2.74e-03
Lymphocyte percentage of white cells,GCST004632,27863252,gwas_catalog,29483866,1118218,1042052,30,1.22e-01,2.74e-03
Mean corpuscular hemoglobin,GCST004630,27863252,gwas_catalog,29482665,1118218,1042072,30,2.49e-01,1.32e-03
Mean corpuscular hemoglobin concentration,GCST004605,27863252,gwas_catalog,29486070,1118218,1042065,30,8.45e-02,7.84e-04
Monocyte count,GCST004625,27863252,gwas_catalog,29482454,1118218,1042063,30,2.09e-01,2.05e-03
Monocyte percentage of white cells,GCST004609,27863252,gwas_catalog,29481677,1118218,1042053,30,1.86e-01,1.60e-03
Myeloid white cell count,GCST004626,27863252,gwas_catalog,29478559,1118218,1042061,30,1.43e-01,2.54e-03
Neutrophil count,GCST004629,27863252,gwas_catalog,29481373,1118218,1042054,30,1.35e-01,2.35e-03
Neutrophil percentage of granulocytes,GCST004623,27863252,gwas_catalog,29482650,1118218,1042056,30,1.29e-01,1.81e-03
Neutrophil percentage of white cells,GCST004633,27863252,gwas_catalog,29482828,1118218,1042044,30,1.15e-01,2.55e-03
Platelet distribution width,GCST004616,27863252,gwas_catalog,29461105,1117937,1041800,30,1.77e-01,1.38e-03
Plateletcrit,GCST004607,27863252,gwas_catalog,29463315,1118218,1042057,30,2.19e-01,2.53e-03
High light scatter reticulocyte count,GCST004611,27863252,gwas_catalog,29480430,1118218,1042073,30,1.75e-01,1.58e-03
High light scatter reticulocyte percentage of red cells,GCST004612,27863252,gwas_catalog,29480170,1118218,1042075,30,1.76e-01,1.49e-03
Immature fraction of reticulocytes,GCST004628,27863252,gwas_catalog,29479929,1118208,1042047,30,1.30e-01,1.12e-03
Reticulocyte count,GCST004622,27863252,gwas_catalog,29479992,1118216,1042066,30,1.79e-01,1.63e-03
Reticulocyte fraction of red cells,GCST004619,27863252,gwas_catalog,29480520,1118210,1042062,30,1.78e-01,1.44e-03
Sum basophil neutrophil counts,GCST004620,27863252,gwas_catalog,29480759,1118218,1042053,30,1.35e-01,2.34e-03
Sum eosinophil basophil counts,GCST004624,27863252,gwas_catalog,29485063,1118218,1042063,30,1.49e-01,1.97e-03
Sum neutrophil eosinophil counts,GCST004613,27863252,gwas_catalog,29482518,1118218,1042052,30,1.37e-01,2.38e-03
White blood cell count (basophil),GCST004618,27863252,gwas_catalog,29484325,1118212,1042050,30,6.40e-02,1.23e-03
Basophil percentage of granulocytes,GCST004634,27863252,gwas_catalog,29481035,1118207,1042034,30,4.93e-02,8.01e-04
Basophil percentage of white cells,GCST004631,27863252,gwas_catalog,29483704,1118203,1042039,30,4.82e-02,6.74e-04
C-reactive protein levels,GCST009777,31900758,gwas_catalog,8927042,1110177,720912,30,2.62e-01,1.66e-02
HDL cholesterol levels,GCST004232,28334899,gwas_catalog,2227639,930358,681023,24,3.82e-01,4.84e-03
LDL cholesterol levels,GCST004233,28334899,gwas_catalog,2227829,930420,683161,23,3.33e-01,6.04e-03
Low density lipoprotein cholesterol levels,GCST90002412,32493714,gwas_catalog,16759647,1114053,1037965,30,3.04e-01,4.09e-03
Agreeableness,GCST006329,21173776,gwas_catalog,2305461,964791,910409,4,1.46e-02,1.50e-03
Alcohol consumption (drinks per week),GCST007328,30643258,gwas_catalog,11514936,1115154,1039827,30,6.92e-02,1.35e-02
Anxiety/tension (special factor of neuroticism),GCST007710,30867560,gwas_catalog,18485882,1115610,735887,30,5.73e-02,1.57e-02
Male-pattern baldness,GCST007020,30573740,gwas_catalog,19123862,1079082,1007468,30,4.05e-01,5.74e-03
Blood urea nitrogen levels,GCST008063,31152163,gwas_catalog,8358026,1115294,1044158,30,6.69e-02,2.86e-03
Morning person,GCST007565,30696823,gwas_catalog,11977376,1115707,1039921,30,1.16e-01,1.85e-02
Smoking behaviour (cigarettes smoked per day),GCST007459,30643251,gwas_catalog,12003613,1115660,1045717,30,5.20e-02,3.90e-03
Cognitive performance,GCST006572,30038396,gwas_catalog,10098325,1108843,1033915,30,1.95e-01,1.90e-02
Conscientiousness,GCST006326,21173776,gwas_catalog,2305682,964844,910351,11,6.18e-02,1.60e-03
Depressive symptoms,GCST007340,30643256,gwas_catalog,4982474,915200,866565,30,4.13e-02,2.28e-02
Family history of Alzheimer's disease,GCST005921,29777097,gwas_catalog,7350603,1102512,725819,30,1.25e-02,4.12e-05
Maternal history of Alzheimer's disease,GCST005923,29777097,gwas_catalog,7350603,1102512,725807,30,2.58e-02,1.76e-05
Paternal history of Alzheimer's disease,GCST005920,29777097,gwas_catalog,7350603,1102512,725902,25,1.89e-02,1.30e-05
Feeling fed-up,GCST006947,29500382,gwas_catalog,10846943,1075357,1003655,30,6.82e-02,1.70e-02
Feeling hurt,GCST006951,29500382,gwas_catalog,10846943,1075357,1003655,30,6.04e-02,1.48e-02
Feeling miserable,GCST006943,29500382,gwas_catalog,10846943,1075357,1003655,30,5.97e-02,1.49e-02
Feeling nervous,GCST006948,29500382,gwas_catalog,10846943,1075357,1003655,30,6.31e-02,1.51e-02
Feeling tense,GCST006952,29500382,gwas_catalog,10846943,1075357,1003655,30,5.10e-02,1.31e-02
Lung function (FEV1/FVC),GCST007431,30804560,gwas_catalog,19814168,1115992,1042810,30,1.55e-01,7.07e-03
FEV1,GCST007432,30804560,gwas_catalog,19814083,1115992,1043213,30,1.57e-01,1.38e-02
Gestational weight gain (maternal effect),GCST005033,28990592,gwas_catalog,2408704,985231,923685,16,1.30e-01,3.38e-03
Estimated glomerular filtration rate,GCST008058,31152163,gwas_catalog,8276454,1115932,1007368,30,9.47e-02,1.52e-02
Feeling guilty,GCST006945,29500382,gwas_catalog,10846943,1075357,1003655,30,4.94e-02,1.36e-02
Insomnia symptoms (never/rarely vs. sometimes/usually),GCST007387,30804566,gwas_catalog,14661601,1118373,1042086,30,8.50e-02,1.59e-02
Modified Stumvoll Insulin Sensitivity Index,GCST005178,27416945,gwas_catalog,2423410,1005702,943004,11,7.12e-02,2.71e-03
Irritable mood,GCST006941,29500382,gwas_catalog,10846943,1075357,1003655,30,6.15e-02,1.48e-02
Fat-free mass,GCST007063,30593698,gwas_catalog,7794483,1113300,1041132,30,5.79e-02,1.50e-01
Driving (hours per day),GCST010086,32317632,gwas_catalog,19400299,1118441,1041941,30,3.25e-02,1.04e-02
Leisure sedentary behaviour (television watching),GCST010084,32317632,gwas_catalog,19400292,1118441,1041998,30,1.44e-01,2.50e-02
Feeling lonely,GCST006942,29500382,gwas_catalog,10846943,1075357,1003655,30,3.55e-02,1.22e-02
Loneliness,GCST006923,29970889,gwas_catalog,7745443,1110423,1036861,30,6.52e-02,1.30e-02
Loneliness (MTAG),GCST006924,29970889,gwas_catalog,7723212,1110162,1034540,30,3.73e-02,1.09e-02
Experiencing mood swings,GCST006944,29500382,gwas_catalog,10846943,1075357,1003655,30,6.75e-02,1.63e-02
General factor of neuroticism,GCST007709,30867560,gwas_catalog,18485882,1115610,736025,30,1.04e-01,2.19e-02
Neurociticism,GCST006940,29500382,gwas_catalog,10846943,1075357,1003655,30,1.09e-01,2.07e-02
Neuroticism,GCST007339,30643256,gwas_catalog,4982474,915200,866535,30,8.36e-02,2.28e-02
Openness,GCST000922,21173776,gwas_catalog,2305640,964889,910501,6,6.68e-02,1.87e-03
Parental extreme longevity (95 years and older),GCST003395,27015805,gwas_catalog,9583642,1095050,1023128,5,3.75e-01,3.02e-03
Parental lifespan,GCST009890,30642433,gwas_catalog,9085648,1117203,1043207,30,2.87e-02,1.21e-02
Parental longevity (both parents in top 10%),GCST006698,29227965,gwas_catalog,11516100,1071959,999166,30,3.20e-01,7.51e-03
Parental longevity (combined parental age at death),GCST006702,29227965,gwas_catalog,11516096,1071961,999226,30,5.10e-02,1.00e-02
"Parental longevity (combined parental attained age, Martingale residuals)",GCST006697,29227965,gwas_catalog,11521815,1071973,999233,30,4.52e-02,1.27e-02
Parental longevity (father's age at death),GCST006700,29227965,gwas_catalog,11519488,1071971,999225,30,3.01e-02,9.61e-03
Parental longevity (father's attained age),GCST006701,29227965,gwas_catalog,11521579,1071970,999237,30,3.80e-02,1.27e-02
Parental longevity (mother's age at death),GCST006699,29227965,gwas_catalog,11517079,1071965,999214,30,3.26e-02,9.33e-03
Parental longevity (mother's attained age),GCST006696,29227965,gwas_catalog,11522251,1071973,999231,30,2.79e-02,1.02e-02
Peak expiratory flow,GCST007430,30804560,gwas_catalog,14903702,1115993,1042458,30,1.23e-01,7.06e-03
Accelerometer-based physical activity measurement (average acceleration),GCST006099,29899525,gwas_catalog,11826775,1118301,1042130,30,1.42e-01,1.07e-02
Accelerometer-based physical activity measurement (fraction of time with accelerations >425 milli-gravities),GCST006079,29899525,gwas_catalog,11826725,1118305,1042125,30,1.07e-01,9.10e-03
Moderate to vigorous physical activity levels,GCST006097,29899525,gwas_catalog,11838639,1118318,1042109,30,4.73e-02,1.26e-02
Physical activity (moderate intensity activity duration),GCST006915,30531941,gwas_catalog,9770928,1110860,1037258,27,5.75e-02,5.37e-03
Physical activity (overall physical activity time),GCST006912,30531941,gwas_catalog,9770928,1110860,1037276,30,1.44e-01,1.10e-02
Physical activity (walking duration),GCST007110,30531941,gwas_catalog,9770928,1110860,1037259,30,7.23e-02,6.78e-03
Sedentary behaviour duration,GCST006913,30531941,gwas_catalog,9770928,1110860,1037261,30,1.01e-01,7.85e-03
Vigorous physical activity,GCST006098,29899525,gwas_catalog,11834614,1118307,1042096,30,6.23e-02,1.17e-02
Urinary potassium excretion,GCST008648,31409800,gwas_catalog,8776510,1116708,1042031,30,4.30e-02,1.28e-02
Refractive error (age-at-onset of spectacle wearing-inferred),GCST009520,31670792,gwas_catalog,10417985,1115749,1041069,30,1.26e-01,9.73e-03
Refractive error (autorefraction measured),GCST009521,31670792,gwas_catalog,10417985,1115749,1041176,30,3.47e-01,8.19e-03
Number of sexual partners,GCST007326,30643258,gwas_catalog,11515109,1115156,1039827,30,9.78e-02,1.77e-02
Sleep duration (long sleep),GCST007560,30846698,gwas_catalog,14661601,1118373,1042068,30,8.38e-02,8.34e-03
Sleep duration (oversleepers),GCST006685,27494321,gwas_catalog,16762749,1102040,1027312,16,8.30e-02,3.92e-03
Sleep duration (short sleep),GCST007559,30846698,gwas_catalog,14661601,1118373,1042076,30,6.93e-02,1.39e-02
Sleep duration (undersleepers),GCST006686,27494321,gwas_catalog,16761229,1102041,1027303,28,6.23e-02,6.79e-03
Smoking initiation (ever regular vs never regular),GCST007474,30643251,gwas_catalog,11733344,1102177,1034054,30,3.48e-02,8.99e-03
Snoring,GCST009761,32060260,gwas_catalog,11010167,1116424,1041930,30,6.06e-02,1.36e-02
